# 1num 2slvfe 3error 4boot 5lower 6boot 7upper 8boot
1 3.890920 0.148598 0.000000 3.929160 0.000000 3.852680 0.000000
2 3.865227 0.130698 0.016677 3.925575 0.002526 3.804880 0.033478
3 3.934924 0.126082 0.046111 4.022370 0.078714 3.848697 0.040527
4 3.887334 0.065772 0.058498 3.917807 0.108422 3.857460 0.032142
5 3.881597 0.030705 0.052531 3.874190 0.095108 3.889486 0.039746
6 3.887799 0.045176 0.043281 3.867817 0.077667 3.908048 0.037423
7 3.875842 0.024267 0.039286 3.869410 0.068380 3.882726 0.038303
8 3.857200 0.043553 0.038057 3.832365 0.067749 3.882256 0.034293
9 3.854014 0.027838 0.034391 3.842589 0.064849 3.865692 0.033097
10 3.857513 0.026145 0.031228 3.846227 0.057449 3.868932 0.031721
11 3.851903 0.020719 0.029682 3.844206 0.051222 3.859850 0.029087
12 3.848141 0.016783 0.026767 3.842722 0.047686 3.853875 0.026994
13 3.846822 0.019406 0.024412 3.838892 0.043816 3.855070 0.024889
14 3.851719 0.021695 0.023840 3.840901 0.038556 3.862752 0.024699
15 3.846562 0.022159 0.021695 3.834516 0.037205 3.858894 0.022795
16 3.839125 0.020795 0.021257 3.827884 0.036311 3.850738 0.022715
17 3.832226 0.016346 0.020642 3.824984 0.032661 3.839886 0.024862
18 3.832569 0.016139 0.019630 3.825062 0.031561 3.840464 0.022592
19 3.828627 0.015363 0.018472 3.821484 0.031112 3.836202 0.022070
20 3.833318 0.017388 0.018285 3.823522 0.028450 3.843478 0.022509
21 3.836825 0.017836 0.018147 3.825935 0.028067 3.848014 0.021514
22 3.832268 0.013594 0.016970 3.825738 0.027242 3.839100 0.022839
23 3.835564 0.010197 0.017252 3.831793 0.026481 3.839587 0.022318
24 3.833322 0.010570 0.016032 3.829079 0.025409 3.837842 0.020594
25 3.835017 0.011370 0.015834 3.829832 0.024874 3.840443 0.019699
26 3.837273 0.012640 0.015173 3.830527 0.022854 3.844223 0.020376
27 3.837757 0.014404 0.014680 3.828603 0.022502 3.847103 0.018299
28 3.837650 0.010547 0.014002 3.832621 0.021199 3.842864 0.018558
29 3.836760 0.010675 0.013940 3.831417 0.021173 3.842296 0.017725
30 3.833416 0.012060 0.013862 3.826310 0.021836 3.840730 0.018279
31 3.832387 0.015061 0.013764 3.820839 0.021244 3.844122 0.017134
32 3.832537 0.014996 0.013238 3.820714 0.020404 3.844539 0.016866
33 3.836125 0.015632 0.013055 3.822841 0.020496 3.849566 0.017501
34 3.832976 0.014860 0.013275 3.820626 0.019516 3.845510 0.017292
35 3.830500 0.016006 0.013009 3.815737 0.019719 3.845442 0.016595
36 3.827573 0.017150 0.012974 3.810125 0.019237 3.845178 0.015986
37 3.826044 0.016844 0.012423 3.808756 0.019081 3.843508 0.016468
38 3.825103 0.015960 0.012159 3.809157 0.018941 3.841233 0.014767
39 3.826894 0.015927 0.011305 3.810579 0.018921 3.843365 0.015635
40 3.828234 0.017637 0.011715 3.807748 0.017934 3.848916 0.016116
41 3.827604 0.018097 0.011578 3.805521 0.017987 3.849882 0.014826
42 3.826515 0.017389 0.012090 3.805620 0.017858 3.847615 0.014986
43 3.826651 0.016445 0.011434 3.807492 0.016954 3.846010 0.014674
44 3.825702 0.014582 0.011417 3.810258 0.016693 3.841328 0.015292
45 3.826355 0.015210 0.010807 3.809182 0.016910 3.843704 0.014964
46 3.826278 0.013608 0.011320 3.812206 0.016791 3.840522 0.014780
47 3.829944 0.013699 0.011241 3.815355 0.016118 3.844696 0.015296
48 3.832737 0.014061 0.011211 3.817029 0.016327 3.848597 0.015839
49 3.830668 0.013717 0.011302 3.815416 0.016000 3.846095 0.015480
50 3.829450 0.014896 0.011191 3.811094 0.016837 3.847948 0.015115
