# 1num 2slvfe 3error 4boot 5lower 6boot 7upper 8boot
1 4.341435 0.268396 0.000000 4.476470 0.000000 4.206400 0.000000
2 4.371310 0.184350 0.015443 4.497980 0.015012 4.244640 0.027188
3 4.353715 0.139756 0.018458 4.461333 0.031045 4.246233 0.017925
4 4.333607 0.087402 0.037541 4.387443 0.067767 4.279893 0.032512
5 4.337850 0.065538 0.032075 4.375134 0.057871 4.300566 0.031911
6 4.354978 0.065236 0.028676 4.399592 0.053469 4.310365 0.027673
7 4.370017 0.061159 0.027811 4.415696 0.047071 4.324193 0.027382
8 4.366869 0.053045 0.024285 4.405965 0.040600 4.327692 0.023994
9 4.353119 0.043660 0.024549 4.382729 0.041745 4.323510 0.021725
10 4.356731 0.030859 0.022884 4.372983 0.039459 4.340479 0.025230
11 4.354128 0.023601 0.022206 4.364575 0.035635 4.343716 0.023779
12 4.346663 0.011694 0.022701 4.343825 0.039250 4.349402 0.022241
13 4.357942 0.011617 0.022665 4.360831 0.040836 4.354948 0.020615
14 4.353124 0.018267 0.022307 4.345191 0.039625 4.360896 0.020338
15 4.346642 0.015928 0.021772 4.340240 0.036865 4.352987 0.020620
16 4.344658 0.017780 0.020278 4.336207 0.034148 4.353086 0.018763
17 4.345524 0.022252 0.018994 4.331524 0.033493 4.359501 0.018545
18 4.344622 0.018702 0.017955 4.334132 0.032852 4.355111 0.018689
19 4.342875 0.019854 0.017164 4.330428 0.029273 4.355335 0.017304
20 4.341600 0.020479 0.016635 4.327693 0.028826 4.355536 0.016784
21 4.342389 0.022891 0.015506 4.324193 0.028012 4.360612 0.016637
22 4.343814 0.024461 0.015747 4.322098 0.026653 4.365552 0.016152
23 4.341050 0.021734 0.015514 4.323094 0.025676 4.359048 0.016762
24 4.340367 0.018469 0.014408 4.326796 0.024822 4.353982 0.017354
25 4.352147 0.014775 0.016529 4.343490 0.030013 4.361272 0.017930
26 4.359226 0.016052 0.017231 4.348421 0.028472 4.370483 0.020372
27 4.358562 0.014007 0.016642 4.350066 0.025794 4.367504 0.018209
28 4.364456 0.014556 0.016067 4.354836 0.026022 4.374468 0.019865
29 4.370100 0.012277 0.016465 4.363069 0.026471 4.377491 0.018580
30 4.372151 0.010877 0.016648 4.366450 0.025070 4.378161 0.018008
31 4.372630 0.010630 0.015472 4.366993 0.026023 4.378557 0.017672
32 4.373606 0.010530 0.015363 4.367874 0.026110 4.379600 0.016886
33 4.376808 0.007971 0.014442 4.373483 0.023993 4.380363 0.016234
34 4.373482 0.010568 0.014707 4.367303 0.024065 4.379886 0.016360
35 4.370265 0.013223 0.014918 4.360179 0.025309 4.380529 0.015725
36 4.367775 0.010442 0.014718 4.361352 0.022872 4.374364 0.016623
37 4.365915 0.010113 0.014156 4.359748 0.023208 4.372279 0.016705
38 4.365363 0.011570 0.013726 4.357033 0.023061 4.373889 0.015508
39 4.364650 0.011018 0.013940 4.356909 0.023664 4.372597 0.015291
40 4.363314 0.011785 0.013175 4.354221 0.022236 4.372624 0.014623
41 4.364449 0.010397 0.013183 4.357203 0.022444 4.371893 0.015306
42 4.366391 0.009524 0.012569 4.360157 0.021224 4.372790 0.014573
43 4.368125 0.007854 0.012311 4.363807 0.021593 4.372588 0.014331
44 4.370994 0.005469 0.012392 4.368920 0.021586 4.373211 0.013474
45 4.368647 0.005293 0.012813 4.366689 0.020517 4.370779 0.013990
46 4.368837 0.003099 0.011956 4.368245 0.020768 4.369595 0.013193
47 4.370809 0.004366 0.011742 4.369429 0.020064 4.372327 0.013476
48 4.371167 0.007440 0.011532 4.366829 0.019802 4.375642 0.013179
49 4.369081 0.007315 0.011942 4.364823 0.019714 4.373505 0.013808
50 4.366746 0.007654 0.011806 4.361989 0.019381 4.371692 0.013667
